Bezeichnung_der_Einrichtung;Strasse;PLZ;Ort;E_Mail;Telefon;Bezeichnung_des_Traegers;Familienzentrum;Bezeichnung_des_Jugendamts;Strasse;PLZ;Ort
Kindergarten Am Treppchen;Am Treppchen 54;45149;Essen;michael.hochguertel@gmx.net;0163-3008895;Kindergarten Civitas e.V. Mitglied im DPWV;nein;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
Kindertagesstätte Im Mühlenbruch;Im Mühlenbruch 32;45141;Essen;kita.muehlenbruch@jugendamt.essen.de;0201 - 216463;Stadtverwaltung  Essen -Jugendamt-;nein;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
Kath. Kindertageseinrichtung St. Antonius Abbas;Schönebeckerstr. 29;45359;Essen;kita.st.antonius-abbas.essen@kita-zweckverband.de;0201-684700;KiTa Zweckverband im Bistum Essen (Essen);nein;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
Kindertagesstätte Trotzköpfe e.V.;Schürmannstr. 34;45136;Essen;info@kita-trotzkoepfe.de;0201-264500;Kindertagesstätte Trotzköpfe e.V.;nein;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
Kindergarten Barchemhöhe;Barchemhöhe 8;45357;Essen;kita.barchemhoehe@jugendamt.essen.de;0201 - 698100;Stadtverwaltung  Essen -Jugendamt-;ja;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
Ev. Tageseinrichtung für Kinder (Brausewindhang);Brausewindhang 74;45359;Essen;kiga.brausewindhang@freenet.de;0201/682441;Ev. Kirchengemeinde Essen-Bedingrade-Schönebeck/Management für Kindertageseinrichtungen;nein;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
Ev. Kindergarten;Rheinstraße 162;45219;Essen;kita-adh@ev-kirche-kettwig.de;02054 / 76 13;Evgl. Kirchengemeinde Kettwig;ja;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
SkF KiTa Saltkrokan ;Bonhoeffer Weg 9;45279;Essen;j.kuhn@skf-essen.de;0201-27508-148;Sozialdienst kath. Frauen Essen-Mitte e.V.;nein;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
Kindertagesstätte Beckmesserstr.;Beckmesserstr. 34;45307;Essen;kita.beckmesserstrasse@jugendamt.essen.de;0201 - 596538;Stadtverwaltung  Essen -Jugendamt-;nein;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
Kita St. Matthias;Rheinstr. 156;45219;Essen;info@kita-st-matthias-kettwig.de;02054/956140;Kinder-und Jugendhilfe St.Peter GmbH;ja;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
Kindertagesstätte Waterfohrstr.;Waterfohrstraße 38;45139;Essen;kita.waterfohrstrasse@jugendamt.essen.de;0201 - 8900190;Stadtverwaltung  Essen -Jugendamt-;nein;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
Kindertagesstätte Bulkersteig;Bulkersteig 22;45277;Essen;kita.bulkersteig@jugendamt.essen.de;0201-584424;Stadtverwaltung  Essen -Jugendamt-;ja;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
"Integrative Kindertagesstätte &quot;Bärenhöhle&quot;";Bärendelle 28;45144;Essen;kita@asb-ruhr.info;0201-7493171;Arbeiter-Samariter-Bund Regionalverband Ruhr e.V.;ja;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
SkF Familienzentrum Villa Kunterbunt;Belfortstr. 27;45138;Essen;j.kuhn@skf-essen.de;0201-27508-148;Sozialdienst kath. Frauen Essen-Mitte e.V.;ja;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
VKJ Kinderhaus Wirbelwind;Liebrechtstraße 4-6;45277;Essen;kinderhaus.wirbelwind@vkj.de;0201-586956;VKJ. Verein für Kinder- und Jugendarbeit in sozialen Brennpunkten Ruhrgebiet e.V.;ja;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
VKJ Familienzentrum Kleine Hexe-ZfC;Westbergstr. 8 ;45309;Essen;kinderhaus.kleinehexe@vkj.de;0201-297171;VKJ. Verein für Kinder- und Jugendarbeit in sozialen Brennpunkten Ruhrgebiet e.V.;ja;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
VKJ Kinderhaus der kleinen Füße;Märkische Straße 27-29;45279;Essen;kinderhaus.kleinefuesse@vkj.de;0201-501503;VKJ. Verein für Kinder- und Jugendarbeit in sozialen Brennpunkten Ruhrgebiet e.V.;ja;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
"Kindertagesstätte im Familienzentrum &quot;Zollverein&quot;";Bullmannaue 15-17;45326;Essen;blauer-elefant.zollverein@dksb-essen.de;0201/305209;Deutscher Kinderschutzbund Ortsverband Essen e.V.;ja;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
Advent-Kindergarten;Lunkegarten 4 a;45277;Essen;advent-kindergarten@web.de;201587486;Advent-Kindergarten e.V. Lunkegarten  4a 45277 Essen;nein;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
Integratives Montessori-Kinderhaus e.V.;Goebenstraße 23a;45139;Essen;info@montessori-essen.de;0201/285114;Integratives Montessori-Kinderhaus Essen e. V.;nein;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
Kindertagesstätte Hamburger Straße;Hamburger Str. 39;45145;Essen;murmel-kita@arcor.de;0201/751489;Murmel-Verein zur sozial- pädagogischen Betreuung von Kindern;nein;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
Kindertagesstätte Lummerland;Am Deimelsberg 36;45276;Essen;info@lummerland-essen.de;0201 514355;"Kindertagesstätte &quot;Lummerland&quot; e.V. ";nein;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
Kindertagesstätte Portendieckstr.;Portendieckstr. 10;45309;Essen;kita.portendieckstrasse@jugendamt.essen.de;0201 - 292713;Stadtverwaltung  Essen -Jugendamt-;nein;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
Kindertagesstätte am Ruhrkolleg;Auf dem Holleter 4;45138;Essen;kita.ruhrkolleg@awo-essen.de;0201/267957;AWO Kita gGmbH;nein;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
Kindertagesstätte Grünstr.;Grünstr. 15;45326;Essen;kita.gruenstrasse@jugendamt.essen.de;0201 - 342190;Stadtverwaltung  Essen -Jugendamt-;ja;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
Kindertagesstätte am Heilgraben;Wilhelm-Segerath-Straße 93;45359;Essen;kita.heilgraben@awo-essen.de;0201/605112;AWO Kita gGmbH;ja;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
Kindertagesstätte an der Tuttmannschule;Grabenstraße 25;45141;Essen;kita.tuttmannschule@awo-essen.de;0201/215373;AWO Kita gGmbH;nein;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
Ev. Tageseinrichtung für Kinder (Distelbeckhof);Distelbeckhof 4;45327;Essen;kita@katernberg-nord.de;0201/331214;Ev. Kirchengemeinde Essen-Katernberg/Management für Kindertageseinrichtungen;nein;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
Ev. Tageseinrichtung für Kinder Mirjamhaus (Friedrich-Lange-Straße);Friedrich-Lange-Str. 1;45356;Essen;kita-mirjamhaus@ev-kitaverband-nord.de;0201/665536;Ev. Kindertagesstättenverband Essen-Nord/Management für Kindertageseinrichtungen;ja;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
Kindertagesstätte Kinderinitiative Kettwig KIK e.V.;Schmachtenbergstr. 64a;45219;Essen;kinderinitiative@aol.com;02054-82153;Kinderinitiative Kettwig e.V.;nein;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
VKJ Kindergarten Budenzauber;Wesselswerth 2;45239;Essen;kiga.budenzauber@vkj.de;0201-493077;VKJ. Verein für Kinder- und Jugendarbeit in sozialen Brennpunkten Ruhrgebiet e.V.;nein;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
Kindertagesstätte im Girardethaus;Girardetstraße 2 - 38;45131;Essen;kita.girardethaus@awo-essen.de;0201/785968;AWO Kita gGmbH;ja;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
Kindertagesstätte Kinderladen Hotzenplotz ;Girardetstraße 21;45131;Essen;info@kita-hotzenplotz.de;0201/721661;Kindertagesstätte Kinderladen Hotzenplotz e.V.;nein;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
Kindertagesstätte Schölerpad;Schölerpad 213;45355;Essen;kita.schoelerpad@jugendamt.essen.de;0201 - 688101;Stadtverwaltung  Essen -Jugendamt-;nein;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
Kindertagesstätte Krablerstraße;Krablerstr. 35 a;45326;Essen;kita.krablerstrasse@jugendamt.essen.de;0201 - 345053;Stadtverwaltung  Essen -Jugendamt-;nein;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
Kindertagesstätte Jacob- Weber Str.;Jacob-Weber-Straße 4;45307;Essen;kita.jacobweberstrasse@jugendamt.essen.de;0201 - 514567;Stadtverwaltung  Essen -Jugendamt-;nein;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
Kindertagesstätte Seumannstr.;Seumannstraße 40;45326;Essen;kita.seumannstrasse@jugendamt.essen.de;0201 - 311254;Stadtverwaltung  Essen -Jugendamt-;nein;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
"Kindertagesstätte &quot;Klabauterhaus&quot;";Nierenhofer Str. 16;45257;Essen;team@klabauterhaus.de;0201/48 72 89;"Kindergarteninitiative &quot;Klabauterhaus&quot; e.V.";nein;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
Kindertagesstätte An der Bergbrücke;An der Bergbrücke 16;45356;Essen;kita.bergbruecke@jugendamt.essen.de;0201  - 353017;Stadtverwaltung  Essen -Jugendamt-;ja;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
Kindertagesstätte Frintroper Höhe;Frintroper Straße 434 b;45359;Essen;annette.schnitzler@awo-essen.de;0201/607612;AWO Kita gGmbH;ja;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
Kindertagesstätte Forschepoeterweg;Forschepoeterweg 99;45309;Essen;kita.forschepoeterweg@jugendamt.essen.de;0201 - 305433;Stadtverwaltung  Essen -Jugendamt-;nein;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
Kindertagesstätte Hemsingskotten;Hemsingskotten 30;45259;Essen;kita.hemsingskotten@jugendamt.essen.de;0201 - 467375;Stadtverwaltung  Essen -Jugendamt-;nein;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
Kindertagesstätte Heidbusch;Heidbusch 1;45359;Essen;kita.heidbusch@awo-essen.de;0201/682031;AWO Kita gGmbH;nein;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
Kindertagesstätte Kapitelwiese;Kapitelwiese 31;45141;Essen;kita.kapitelwiese@jugendamt.essen.de;0201 - 290772;Stadtverwaltung  Essen -Jugendamt-;nein;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
Kindertagesstätte Schalthaus Beisen;Am Handwerkerpark 6;45309;Essen;kita.schalthausbeisen@awo-essen.de;0201/8305747;AWO Kita gGmbH;ja;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
Kindertagesstätte Zeche Helene;Twentmannstraße 125;45326;Essen;kita.zechehelene@awo-essen.de;0201/8396639;AWO Kita gGmbH;nein;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
Kindertagesstätte Haus-Berge-Strasse;Haus-Berge-Str. 38 - 40;45143;Essen;kita.hausbergestrasse@awo-essen.de;0201/623134;AWO Kita gGmbH;ja;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
"Kindertagesstätte im Kinderhaus &quot;Blauer Elefant&quot; Essen-Mitte";Gerswidastr. 3a;45127;Essen;blauer-elefant.stadtmitte@dksb-essen.de;0201/20470;Deutscher Kinderschutzbund Ortsverband Essen e.V.;ja;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
"Kindertagesstätte &quot;Arche&quot; ";Altenessener Straße 273;45326;Essen;kita.arche@dksb-essen.de;0201/8338686;Deutscher Kinderschutzbund Ortsverband Essen e.V.;ja;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
Kindertagesstätte Levinstraße;Levinstraße 73;45356;Essen;kita.levinstrasse@awo-essen.de;0201/661182;AWO Kita gGmbH;ja;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
Kindertagesstätte am Rathaus;Gustav-Hicking-Str. 27a;45127;Essen;kita.rathaus@awo-essen.de;0201/1769933;AWO Kita gGmbH;ja;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
Kindertagesstätte Vosselerweg;Vosseler Weg 22;45326;Essen;kita.vosselerweg@jugendamt.essen.de;0201 - 3164909;Stadtverwaltung  Essen -Jugendamt-;ja;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
Kindertagesstätte an der ABC-Siedlung;Erinweg 1;45309;Essen;kita.abcsiedlung@awo-essen.de;0201/550056;AWO Kita gGmbH;nein;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
Kindertagesstätte Viktoriastraße ;Viktoriastr. 33;45327;Essen;kita.viktoriastrasse@dksb-essen.de;0201/300004;Deutscher Kinderschutzbund Ortsverband Essen e.V.;nein;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
VKJ Kindergarten Zauberstern;Kaisershofstr. 25;45139;Essen;kiga.zauberstern@vkj.de;0201-2799108;VKJ. Verein für Kinder- und Jugendarbeit in sozialen Brennpunkten Ruhrgebiet e.V.;ja;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
"Integrative Kindertagesstätte &quot;Lummerland&quot;";Krummecke 7-15;45277;Essen;n.sperling-vengels@diakoniewerk-essen.de;8586053;Diakoniewerk Essen gemeinnützige Gesellschaft für Kindertageseinrichtungen mbH;nein;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
Kindertageseinrichtung Lumiland Grillostraße;Grillostraße 3;45141;Essen;hflegel@e-impuls.de;0201 47950-290;Impuls Soziales Management e.V.;nein;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
Privat-gewerbliche Tageseinrichtung für Kinder KinderHut(R) Spatzennest;Moorenstraße 30;45131;Essen;nicht vorhanden;nicht vorhanden;KinderHut gGmbH;nein;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
Kindertagesstätte Sommerburg;Helgolandring 98;45149;Essen;kita.sommerburg@awo-essen.de;0201/7103880;AWO Kita gGmbH;nein;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
Kindertagesstätte am Blickpunkt;Haus-Berge-Str.103;45356;Essen;kita.blickpunkt@awo-essen.de;0201/83912916;AWO Kita gGmbH;ja;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
Kindertagesstätte Im Looscheid;Im Looscheid 82;45141;Essen;kita.looscheid@awo-essen.de;0201/31712;AWO Kita gGmbH;nein;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
Kindertagesstätte am Minna-Deuper-Haus;Germaniastr. 74;45356;Essen;kita.minnadeuperhaus@awo-essen.de;0201/610195;AWO Kita gGmbH;ja;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
Kindertagesstätte Essener Str.;Essener Straße 127;45141;Essen;kita.essenerstrasse@jugendamt.essen.de;0201 - 297771;Stadtverwaltung  Essen -Jugendamt-;nein;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
"Integrative Tageseinrichtung für Kinder &quot;Sonnenschein&quot;";II.Schichtstr. 13;45329;Essen;kita.sonnenschein@dksb-essen.de;0201/3641570;Deutscher Kinderschutzbund Ortsverband Essen e.V.;nein;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
VKJ Kindergarten Tabaluga;Euskirchenstr. 5;45143;Essen;kiga.tabaluga@vkj.de;0201-643732;VKJ. Verein für Kinder- und Jugendarbeit in sozialen Brennpunkten Ruhrgebiet e.V.;ja;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
Verein für Kinder- und Jugendförderung e.V.. Kita Pfiffikus;Maxstr. 58;45127;Essen;info@kita-pfiffikus.de;0201-2484681;Verein für Kinder- und Jugendförderung e.V.. Kita Pfiffikus;ja;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
Kindertagesstätte Imbuschweg;Imbuschweg 1 a;45327;Essen;kita.imbuschweg@jugendamt.essen.de;0201 - 5455983;Stadtverwaltung  Essen -Jugendamt-;ja;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
VKJ Kinderhaus Sim Sala Grim;Grimbergstr. 30;45307;Essen;kinderhaus.simsalagrim@vkj.de;0201-5579089;VKJ. Verein für Kinder- und Jugendarbeit in sozialen Brennpunkten Ruhrgebiet e.V.;ja;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
Zwergenreich Renteillichtung 11;Renteillichtung 11;45134;Essen;schellenberg@zwergenreich.eu;20143958936;Zwergenreich Betriebs UG;nein;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
Wurzelkinder Essen;Planckstraße 115;45147;Essen;jochen.lippe-holstein@wurzelkinder-essen.de;0201/3616664;Wurzelkinder Essen e.V.;nein;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
Kita Am Grugapark 14 - Zwei;Am Grugapark 14;45133;Essen;kita.grugazwei@dksb-essen.de;0201/64957120;Deutscher Kinderschutzbund Ortsverband Essen e.V.;nein;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
Kindertageseinrichtung Natorpstr. 30;Natorpstr. 30;45139;Essen;ebg-e.V@web.de;15780649010;Erziehung und Bildung ohne Grenzen Ruhr e.V.;nein;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
VKJ Kindergarten Sterntaler;Ruhrallee 75;45138;Essen;kiga.sterntaler@vkj.de;0201-8308461;VKJ. Verein für Kinder- und Jugendarbeit in sozialen Brennpunkten Ruhrgebiet e.V.;nein;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
VKJ Kinderhaus Windvogel;Ramers Kamp 7 und  Altenessener Straße 471;45327;Essen;kinderhaus.windvogel@vkj.de;0201-8067397;VKJ. Verein für Kinder- und Jugendarbeit in sozialen Brennpunkten Ruhrgebiet e.V.;nein;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
VKJ Kindergarten Erlebniswelt;Radhoffstr. 48;45326;Essen;kiga.erlebniswelt@vkj.de;0201-3162587;VKJ. Verein für Kinder- und Jugendarbeit in sozialen Brennpunkten Ruhrgebiet e.V.;nein;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
Waldkindergarten Essen e.V.;Lührmannstr. 82;45131;Essen;nicht vorhanden;0201/87426914;Waldkindergarten  Essen e.V.;nein;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
VKJ Kindergarten FrechDachse;Dachsfeld 46 ;45357;Essen;kiga.frechdachse@vkj.de;0201-18527643;VKJ. Verein für Kinder- und Jugendarbeit in sozialen Brennpunkten Ruhrgebiet e.V.;nein;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
Kinderhaus Lumiland Holsterhausen;Melanchthonstr. 5;45147;Essen;akuschnereit@e-impuls.de;0201 4909480;Impuls Soziales Management e.V.;nein;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
SkF KiTa Hoppetosse;Beethovenstr. 15;45128;Essen;j.kuhn@skf-essen.de;0201/27508-148;Sozialdienst kath. Frauen Essen-Mitte e.V.;nein;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
Kindertagesstätte Ruhrau;Hünninghausenweg 96;45276;Essen;sabine.bouchbouk@jugendamt.essen.de;0201-18535499;Stadtverwaltung  Essen -Jugendamt-;nein;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
Kindertagesstätte Haus des Lernens ;Raadter Str. 121;45149;Essen;Kita.Raadterstr@jugendamt.essen.de;(0201) 88-85030;Stadtverwaltung  Essen -Jugendamt-;nein;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
Kita Grugapark - Am Grugapark 14 - Eins;Am Grugapark 14;45133;Essen;kita.grugapark@dksb-essen.de;0201/64957110;Deutscher Kinderschutzbund Ortsverband Essen e.V.;nein;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
 Kita Kinderkiste ;Saarbrücker Straße 85-87;45138;Essen;info@baby-in-essen.de;0201 2993867;Kindertagesbetreuung Behrwind gUG;nein;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
Kindertageseinrichtung Jahnplatz 26;Jahnplatz 26-28;45143;Essen;kita.jahnplatz26-28@awo-essen.de;0201 / 64 30 92;AWO Kita gGmbH;nein;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
Kindertageseinrichtung Grillostraße 37;Grillostraße 37;45141;Essen;kita.grillostrasse@awo-essen.de;0201/83958348;AWO Kita gGmbH;nein;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
Miniapolis. Kita Thyssenkrupp Allee 11;Thyssenkrupp Allee 11;45143;Essen;miniapolis@drk-nordrhein.net;0201-89258111;DRK-BsE des DRK Landesverbandes Nordrhein;nein;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
VKJ Kinderhaus Wunschbrunnen;Brunnenstr. 29 und Waldthausenstraße 42;45128;Essen;kinderhaus.wunschbrunnen@vkj.de;0201 24670772;VKJ. Verein für Kinder- und Jugendarbeit in sozialen Brennpunkten Ruhrgebiet e.V.;nein;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
"FRÖBEL Kindergarten &quot;Ruhrknirpse&quot;";Anstockstr. 11;45257;Essen;ruhrknirpse-essen@froebel-gruppe.de;0201-37903436;FRÖBEL NRW gGmbH;nein;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
Kindertagesstätte Timpestr. 40;Timpestr. 40;45329;Essen;Kita.Timpestrasse@jugendamt.essen.de;(0201) 88-85050;Stadtverwaltung  Essen -Jugendamt-;nein;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
VKJ Kinderhaus im Park;Eickelkamp 30;45276;Essen;vkj@vkj.de;0201 234081;VKJ. Verein für Kinder- und Jugendarbeit in sozialen Brennpunkten Ruhrgebiet e.V.;nein;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
Kindertagesstätte Mintarder Weg 47;Mintarder Weg 47 ;45219;Essen;Kita.mintarderweg@jugendamt.essen.de  ;(02054) 9401750;Stadtverwaltung  Essen -Jugendamt-;nein;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
KinderHut Veronikastraße 32;Veronikastraße 32;45131;Essen;nicht vorhanden;nicht vorhanden;KinderHut gGmbH;nein;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
Kindertageseinrichtung Phantasia Diergardtstr. 2a;Diergardtstr. 2a;45144;Essen;kitaphantasia@asb-ruhr.info;0201-185356130;Arbeiter-Samariter-Bund Regionalverband Ruhr e.V.;nein;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
SkF KiTa Lönneberga;Im Beuler Feld 18;45279;Essen;kita-loenneberga@skf-essen.de;0201 244 978 65;Sozialdienst kath. Frauen Essen-Mitte e.V.;nein;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
BärenBande;Julienstr. 1;45130;Essen;info@baby-in-essen.de;0201 2993867;Kindertagesbetreuung Behrwind gUG;nein;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
"FRÖBEL-Kindergarten &quot;Kraienbruch&quot;";Kraienbruch 2;45357;Essen;kluenter@froebel-gruppe.de;0221 - 29 99 42 - 60;FRÖBEL NRW gGmbH;nein;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
Süd-Stadt-Strolche;Brunnenstr. 33;45128;Essen;info@baby-in-essen.de;0201 2993867;Kindertagesbetreuung Behrwind gUG;nein;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
VKJ Kinderhaus Fliewatüüt;Bernhardstr. 28;45239;Essen;vkj@vkj.de;0201 234081;VKJ. Verein für Kinder- und Jugendarbeit in sozialen Brennpunkten Ruhrgebiet e.V.;nein;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
VKJ Kinderhaus LaLeLu ;Brosweg 18;45239;Essen;vkj@vkj.de;0201 234081;VKJ. Verein für Kinder- und Jugendarbeit in sozialen Brennpunkten Ruhrgebiet e.V.;nein;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
Kindertagesstätte Diemelstraße;Diemelstr.56;45136;Essen;kita.weserstrasse@jugendamt.essen.de;0201-251544;Stadtverwaltung  Essen -Jugendamt-;nein;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
Kindertageseinrichtung Segerothstr. ;Segerothstr.;45141;Essen;nicht vorhanden;nicht vorhanden;AWO Kita gGmbH;nein;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
Kita Zweigstraße des DKSB;Zweigstr.37;45355;Essen;fachbereich.kita@dksb-essen.de;0201/49550755;Deutscher Kinderschutzbund Ortsverband Essen e.V.;nein;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
Kindertageseinrichtung Burgaltendorf;Überruhrstraße 515;45289;Essen;j.kuhn@skf-essen.de;0201-27508-148;Sozialdienst kath. Frauen Essen-Mitte e.V.;nein;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
Kleine Riesen. Theodor-Althoff-Str. 39;Theodor-Althoff-Str. 39;45133;Essen;info@littlegiants.de;(0711) 35 116 40;Kleine Riesen Nord gemeinnützige UG (hb.);nein;Stadtverw. Essen;I. Hagen 26 (Haus am Theater);45121;Essen
Waldorfkindergarten Kreuzberg- straße;Kreuzbergstr. 11;47800;Krefeld;kreuz@waldorfkindergarten-krefeld.de;02151-501183;Rudolf Steiner Waldorfkindergarten e.V.;nein;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
Städt. Kindertageseinrichtung Lüdersstr. 12;Lüdersstraße 12;47798;Krefeld;susanne.suerder@krefeld.de;02151/77 7515;Stadt Krefeld - FB 51 -;nein;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
Kath. Kindergarten St. Marien;Herrenweg 6;47839;Krefeld;st-marien-huels@t-online.de;02151 731211;Katholischer Kirchengemeindeverband Krefeld-Nord-West;nein;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
Städt. Kindertageseinrichtung Wilhelmstr. 57 (inkl. Dependance Hafelstr.);Wilhelmstraße 57;47807;Krefeld;katrin.bauer@krefeld.de;02151/30 53 88;Stadt Krefeld - FB 51 -;nein;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
